tx_id,day,payer_id,payer_name,payee_id,payee_name,amount,requested_amount,reason,domain,good,location,note
151,1,F_00149,Orbit Raumfahrt Cooperative,MARKET_ORBIT,Aggregierter Markt Orbit,0.9315336973887979,0.9315336973887979,production_input,market,water,Orbit,
152,1,MARKET_ORBIT,Aggregierter Markt Orbit,F_00149,Orbit Raumfahrt Cooperative,91.99181401991967,91.99181401991967,sell_production_oxygen,market,oxygen,Orbit,
153,1,PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,F_00142,Moon Raumfahrt Cooperative,123.14370065777332,123.14370065777332,public_infrastructure_contract,infrastructure,,Moon,tx_tax=0.739
154,1,PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,F_00144,Orbit Raumfahrt Cooperative,144.52512659140478,144.52512659140478,public_infrastructure_contract,infrastructure,,Orbit,tx_tax=0.867
155,1,PUBLIC_ZEMO,ZEMO Public Council / Öffentlicher Fonds,F_00134,Station Raumfahrt Cooperative,162.12717826669726,162.12717826669726,public_infrastructure_contract,infrastructure,,Station,tx_tax=0.973
156,1,MARKET_EARTH,Aggregierter Markt Earth,M_00150,Delta Public News,1.8957916820175769,1.8957916820175769,attention_market_revenue,media,media,Earth,tx_tax=0.011
157,1,MARKET_ORBIT,Aggregierter Markt Orbit,M_00151,Orbit Signal,2.46667993635987,2.46667993635987,attention_market_revenue,media,media,Orbit,tx_tax=0.015
158,1,MARKET_MOON,Aggregierter Markt Moon,M_00152,Lunar Ledger,3.2650203576677796,3.2650203576677796,attention_market_revenue,media,media,Moon,tx_tax=0.020
159,1,MARKET_EARTH,Aggregierter Markt Earth,M_00153,Earth Commons Daily,2.519446227392641,2.519446227392641,attention_market_revenue,media,media,Earth,tx_tax=0.015
160,1,MARKET_EARTH,Aggregierter Markt Earth,M_00154,FastFeed Network,9.273309354690099,9.273309354690099,attention_market_revenue,media,media,Earth,tx_tax=0.056
161,1,MARKET_EARTH,Aggregierter Markt Earth,M_00155,DeepContext Review,2.5990886992181297,2.5990886992181297,attention_market_revenue,media,media,Earth,tx_tax=0.016
162,1,MARKET_STATION,Aggregierter Markt Station,M_00156,Station Safety Bulletin,2.359008972138534,2.359008972138534,attention_market_revenue,media,media,Station,tx_tax=0.014
163,1,MARKET_ORBIT,Aggregierter Markt Orbit,F_00145,Orbit Medien Cooperative,3.153796705429341,3.153796705429341,attention_market_revenue,media,media,Orbit,tx_tax=0.019
164,1,P_00001,Lea Garcia,F_00145,Orbit Medien Cooperative,0.07342356737783941,0.07342356737783941,news_subscription_or_attention,media,media,Earth,tx_tax=0.000
